"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"1731","_Social attitudes towards marine resource managemen","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"4"
"1732","_Social attitudes towards marine resource managemen","GPT4x1","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"4"
"1733","_Social attitudes towards marine resource managemen","GPT4x1","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"4"
"1734","_Social attitudes towards marine resource managemen","GPT4x1","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"4"
"1735","_Social attitudes towards marine resource managemen","GPT4x1","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"4"
"1736","_Social attitudes towards marine resource managemen","GPT4x1","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"1737","_Social attitudes towards marine resource managemen","GPT4x1","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"4"
"1738","_Social attitudes towards marine resource managemen","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"4"
"1739","_Social attitudes towards marine resource managemen","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"1740","_Social attitudes towards marine resource managemen","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"4"
"1741","_Social attitudes towards marine resource managemen","GPT4x1","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R2",2,"4"
"1742","_Social attitudes towards marine resource managemen","GPT4x1","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"1743","_Social attitudes towards marine resource managemen","GPT4x1","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"4"
"1744","_Social attitudes towards marine resource managemen","GPT4x1","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",3,"R3",NA,"4"
"1745","_Social attitudes towards marine resource managemen","GPT4x1","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",NA,"4"
"1746","_Social attitudes towards marine resource managemen","GPT4x1","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",NA,"4"
"1747","_Social attitudes towards marine resource managemen","GPT4x1","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",1,"R4",2,"4"
"1748","_Social attitudes towards marine resource managemen","GPT4x1","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",1,"R4",2,"4"
"1749","_Social attitudes towards marine resource managemen","GPT4x1","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",2,"4"
"1750","_The renaissance of community-based marine resource","GPT4x1","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",2,"5"
"1751","_The renaissance of community-based marine resource","GPT4x1","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"5"
"1752","_The renaissance of community-based marine resource","GPT4x1","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"5"
"1753","_The renaissance of community-based marine resource","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"5"
"1754","_The renaissance of community-based marine resource","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"5"
"1755","_The renaissance of community-based marine resource","GPT4x1","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"5"
"1756","_The renaissance of community-based marine resource","GPT4x1","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",2,"R2",2,"5"
"1757","_The renaissance of community-based marine resource","GPT4x1","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",2,"R2",2,"5"
"1758","_The renaissance of community-based marine resource","GPT4x1","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"5"
"1759","_The renaissance of community-based marine resource","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"5"
"1760","_The renaissance of community-based marine resource","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"1761","_The renaissance of community-based marine resource","GPT4x1","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"1762","_The renaissance of community-based marine resource","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"5"
"1763","_The renaissance of community-based marine resource","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"5"
"1764","_The renaissance of community-based marine resource","GPT4x1","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"5"
"1765","_The renaissance of community-based marine resource","GPT4x1","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"5"
"1766","_The renaissance of community-based marine resource","GPT4x1","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"5"
"1767","_The renaissance of community-based marine resource","GPT4x1","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"5"
"1768","_The renaissance of community-based marine resource","GPT4x1","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",1,"R1",1,"5"
"1769","_The renaissance of community-based marine resource","GPT4x1","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"5"
"1770","_The renaissance of community-based marine resource","GPT4x1","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"5"
"1771","_The renaissance of community-based marine resource","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"5"
"1772","_The renaissance of community-based marine resource","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"5"
"1773","_The renaissance of community-based marine resource","GPT4x1","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"5"
"1774","_The renaissance of community-based marine resource","GPT4x1","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",NA,"5"
"1775","_The renaissance of community-based marine resource","GPT4x1","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",NA,"5"
"1776","_The renaissance of community-based marine resource","GPT4x1","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",NA,"5"
"1777","_The renaissance of community-based marine resource","GPT4x1","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"5"
"1778","_The renaissance of community-based marine resource","GPT4x1","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"1779","_The renaissance of community-based marine resource","GPT4x1","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"1780","_The renaissance of community-based marine resource","GPT4x1","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"5"
"1781","_The renaissance of community-based marine resource","GPT4x1","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"5"
"1782","_The renaissance of community-based marine resource","GPT4x1","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"5"
